,20,40,60,80,100
Merkle Tree,0.00013195276260375978,0.0001289188861846924,0.00012855132420857746,0.0001324385404586792,0.00012331724166870118
Accumulator: Batch,0.015326404571533203,0.014401024580001831,0.016462182998657225,0.014169764518737794,0.014004359245300293
Accumulator: Batch w. NI-PoE,0.012469983100891114,0.012115424871444702,0.0144508163134257,0.011974889039993285,0.011779110431671142
